Date,AXISBANK,ADANIPORTS
2007-11-27,932.1,962.9
2007-11-28,905.7,893.9
2007-11-29,918.85,884.2
2007-11-30,930.65,921.55
2007-12-03,942.35,969.3
2007-12-04,944.3,1041.45
2007-12-05,940.1,1082.45
2007-12-06,923.2,1081.3
2007-12-07,938.55,1102.4
2007-12-10,939.65,1075.4
2007-12-11,941.0,1047.65
2007-12-12,942.05,1036.8
2007-12-13,972.2,1129.95
2007-12-14,994.65,1110.5
2007-12-17,984.45,1044.25
2007-12-18,952.0,1074.95
2007-12-19,939.0,1066.9
2007-12-20,933.85,1060.2
2007-12-24,953.25,1156.8
2007-12-26,970.95,1199.9
2007-12-27,956.4,1211.65
2007-12-28,975.55,1249.1
2007-12-31,970.45,1268.8
2008-01-01,972.55,1296.85
2008-01-02,1034.65,1307.45
2008-01-03,1035.85,1275.8
2008-01-04,1054.9,1240.35
2008-01-07,1090.15,1227.25
2008-01-08,1065.75,1204.8
2008-01-09,1095.6,1180.25
2008-01-10,1089.15,1121.55
2008-01-11,1169.75,1085.85
2008-01-14,1268.15,1035.15
2008-01-15,1196.55,1049.55
2008-01-16,1156.7,1030.4
2008-01-17,1162.05,1020.9
2008-01-18,1116.15,994.6
2008-01-21,1060.65,825.05
2008-01-22,974.6,735.55
2008-01-23,1015.7,857.0
2008-01-24,1002.2,814.15
2008-01-25,1097.75,865.7
2008-01-28,1141.45,820.8
2008-01-29,1146.2,840.75
2008-01-30,1105.45,830.45
2008-01-31,1120.8,837.65
2008-02-01,1085.15,825.35
2008-02-04,1088.95,856.1
2008-02-05,1059.7,834.3
2008-02-06,1084.65,807.5
2008-02-07,1034.7,796.25
2008-02-08,983.65,784.05
2008-02-11,930.75,711.2
2008-02-12,990.6,681.3
2008-02-13,967.0,670.95
2008-02-14,993.2,709.8
2008-02-15,1029.4,728.75
2008-02-18,1050.9,771.6
2008-02-19,1038.15,763.9
2008-02-20,1006.1,732.1
2008-02-21,1000.7,737.6
2008-02-22,971.0,724.0
2008-02-25,956.8,707.65
2008-02-26,960.8,735.8
2008-02-27,992.85,746.4
2008-02-28,1009.55,737.75
2008-02-29,1022.55,735.65
2008-03-03,939.45,699.25
2008-03-04,910.9,669.25
2008-03-05,896.6,640.9
2008-03-07,840.85,609.75
2008-03-10,806.7,601.15
2008-03-11,836.15,623.7
2008-03-12,864.0,602.9
2008-03-13,806.6,566.3
2008-03-14,860.35,561.0
2008-03-17,793.8,511.45
2008-03-18,782.55,502.4
2008-03-19,753.35,497.75
2008-03-24,724.95,469.2
2008-03-25,790.95,497.15
2008-03-26,828.8,504.05
2008-03-27,792.45,516.0
2008-03-28,807.2,619.2
2008-03-31,789.85,578.75
2008-04-01,721.65,592.2
2008-04-02,744.6,608.35
2008-04-03,744.2,602.3
2008-04-04,714.45,593.2
2008-04-07,751.15,593.4
2008-04-08,758.75,589.65
2008-04-09,797.7,597.75
