Date,AXISBANK,ADANIPORTS,ASIANPAINT
2007-11-27,932.1,962.9,998.15
2007-11-28,905.7,893.9,1006.45
2007-11-29,918.85,884.2,998.1
2007-11-30,930.65,921.55,990.0
2007-12-03,942.35,969.3,986.6
2007-12-04,944.3,1041.45,995.3
2007-12-05,940.1,1082.45,1002.3
2007-12-06,923.2,1081.3,994.4
2007-12-07,938.55,1102.4,994.9
2007-12-10,939.65,1075.4,995.05
2007-12-11,941.0,1047.65,999.55
2007-12-12,942.05,1036.8,996.6
2007-12-13,972.2,1129.95,983.95
2007-12-14,994.65,1110.5,1002.7
2007-12-17,984.45,1044.25,995.4
2007-12-18,952.0,1074.95,989.45
2007-12-19,939.0,1066.9,1004.9
2007-12-20,933.85,1060.2,1011.65
2007-12-24,953.25,1156.8,1052.1
2007-12-26,970.95,1199.9,1100.15
2007-12-27,956.4,1211.65,1085.15
2007-12-28,975.55,1249.1,1099.9
2007-12-31,970.45,1268.8,1099.55
2008-01-01,972.55,1296.85,1134.1
2008-01-02,1034.65,1307.45,1136.3
2008-01-03,1035.85,1275.8,1139.05
2008-01-04,1054.9,1240.35,1140.9
2008-01-07,1090.15,1227.25,1212.4
2008-01-08,1065.75,1204.8,1248.2
2008-01-09,1095.6,1180.25,1202.9
2008-01-10,1089.15,1121.55,1172.25
2008-01-11,1169.75,1085.85,1157.2
2008-01-14,1268.15,1035.15,1124.1
2008-01-15,1196.55,1049.55,1099.6
2008-01-16,1156.7,1030.4,1086.2
2008-01-17,1162.05,1020.9,1086.75
2008-01-18,1116.15,994.6,1035.2
2008-01-21,1060.65,825.05,1045.6
2008-01-22,974.6,735.55,962.6
2008-01-23,1015.7,857.0,1002.65
2008-01-24,1002.2,814.15,1016.15
2008-01-25,1097.75,865.7,1046.95
2008-01-28,1141.45,820.8,1127.15
2008-01-29,1146.2,840.75,1107.8
2008-01-30,1105.45,830.45,1181.75
2008-01-31,1120.8,837.65,1246.15
2008-02-01,1085.15,825.35,1170.0
2008-02-04,1088.95,856.1,1196.05
2008-02-05,1059.7,834.3,1216.4
2008-02-06,1084.65,807.5,1207.75
2008-02-07,1034.7,796.25,1140.55
2008-02-08,983.65,784.05,1180.0
2008-02-11,930.75,711.2,1151.65
2008-02-12,990.6,681.3,1151.6
2008-02-13,967.0,670.95,1147.7
2008-02-14,993.2,709.8,1153.65
2008-02-15,1029.4,728.75,1153.6
2008-02-18,1050.9,771.6,1150.35
2008-02-19,1038.15,763.9,1111.6
2008-02-20,1006.1,732.1,1087.3
2008-02-21,1000.7,737.6,1053.85
2008-02-22,971.0,724.0,1096.2
2008-02-25,956.8,707.65,1134.95
2008-02-26,960.8,735.8,1130.95
2008-02-27,992.85,746.4,1198.45
2008-02-28,1009.55,737.75,1136.3
2008-02-29,1022.55,735.65,1115.0
2008-03-03,939.45,699.25,1160.25
2008-03-04,910.9,669.25,1165.9
2008-03-05,896.6,640.9,1136.0
2008-03-07,840.85,609.75,1123.95
2008-03-10,806.7,601.15,1159.7
2008-03-11,836.15,623.7,1164.75
2008-03-12,864.0,602.9,1156.7
2008-03-13,806.6,566.3,1133.2
2008-03-14,860.35,561.0,1140.8
2008-03-17,793.8,511.45,1105.75
2008-03-18,782.55,502.4,1133.85
2008-03-19,753.35,497.75,1175.05
2008-03-24,724.95,469.2,1167.75
2008-03-25,790.95,497.15,1157.75
2008-03-26,828.8,504.05,1157.1
2008-03-27,792.45,516.0,1164.7
2008-03-28,807.2,619.2,1178.95
2008-03-31,789.85,578.75,1199.9
2008-04-01,721.65,592.2,1198.15
2008-04-02,744.6,608.35,1186.95
2008-04-03,744.2,602.3,1182.95
2008-04-04,714.45,593.2,1184.1
2008-04-07,751.15,593.4,1183.45
2008-04-08,758.75,589.65,1182.1
2008-04-09,797.7,597.75,1222.55
2008-04-10,777.95,608.6,1215.05
2008-04-11,759.95,610.2,1199.9
2008-04-15,773.4,642.55,1200.4
2008-04-16,785.75,637.4,1201.4
2008-04-17,824.4,626.35,1218.95
2008-04-21,881.55,645.15,1240.95
2008-04-22,909.0,665.85,1234.7
2008-04-23,897.2,666.7,1228.7
2008-04-24,898.55,665.25,1220.4
2008-04-25,907.7,712.15,1229.75
2008-04-28,918.9,736.45,1243.7
2008-04-29,945.65,740.6,1255.45
2008-04-30,923.55,760.15,1280.3
2008-05-02,935.65,766.65,1275.85
2008-05-05,946.75,754.4,1284.85
2008-05-06,948.1,757.9,1283.55
2008-05-07,907.45,768.5,1274.45
2008-05-08,863.2,781.5,1233.8
2008-05-09,835.85,783.75,1222.5
2008-05-12,877.2,807.55,1203.25
2008-05-13,869.2,792.85,1234.95
2008-05-14,862.5,789.2,1228.3
2008-05-15,893.6,790.85,1217.2
2008-05-16,900.05,775.6,1213.85
2008-05-20,869.35,884.05,1225.7
2008-05-21,869.75,901.35,1220.75
2008-05-22,828.6,884.4,1225.95
2008-05-23,799.45,853.65,1226.35
2008-05-26,762.9,887.45,1225.75
2008-05-27,738.75,873.05,1241.3
2008-05-28,810.2,841.0,1238.0
2008-05-29,783.0,834.85,1259.4
2008-05-30,793.25,790.4,1285.9
2008-06-02,749.35,765.8,1261.3
2008-06-03,757.4,739.4,1243.75
2008-06-04,736.8,702.2,1250.0
2008-06-05,770.9,657.55,1256.65
2008-06-06,760.55,639.6,1260.8
2008-06-09,703.1,612.6,1256.05
2008-06-10,681.5,589.25,1256.65
2008-06-11,705.8,607.1,1287.85
2008-06-12,714.35,593.5,1259.05
2008-06-13,704.5,600.3,1268.4
2008-06-16,735.75,620.9,1278.5
2008-06-17,794.5,630.6,1259.15
2008-06-18,750.5,628.9,1253.25
2008-06-19,718.1,649.15,1260.15
2008-06-20,703.7,624.25,1260.3
2008-06-23,697.15,571.05,1247.0
2008-06-24,678.65,568.7,1224.9
2008-06-25,685.05,549.7,1160.35
2008-06-26,678.2,528.45,1176.85
2008-06-27,628.6,496.0,1156.05
2008-06-30,605.05,494.15,1149.25
2008-07-01,593.85,478.15,1081.45
2008-07-02,634.45,481.3,1046.45
2008-07-03,580.2,443.35,1026.45
2008-07-04,600.45,450.4,1032.2
2008-07-07,603.95,467.35,1051.4
2008-07-08,606.95,459.45,1025.15
2008-07-09,669.1,551.35,1033.85
2008-07-10,678.45,567.75,1035.6
2008-07-11,665.25,546.35,1051.85
2008-07-14,634.35,534.9,1051.8
2008-07-15,597.1,488.0,1039.6
2008-07-16,584.45,478.2,1001.95
2008-07-17,635.45,478.75,1034.1
2008-07-18,685.6,467.4,1049.8
2008-07-21,697.4,476.35,1062.75
2008-07-22,735.05,516.45,1063.2
2008-07-23,763.65,553.55,1110.85
2008-07-24,760.3,584.6,1122.5
2008-07-25,712.85,587.8,1117.05
2008-07-28,697.3,588.45,1138.3
2008-07-29,619.7,554.7,1150.0
2008-07-30,679.25,563.9,1190.05
2008-07-31,653.9,578.0,1204.45
2008-08-01,679.9,576.25,1210.35
2008-08-04,706.05,585.05,1225.2
2008-08-05,760.55,587.0,1236.4
2008-08-06,743.05,576.65,1237.5
2008-08-07,746.55,573.75,1241.25
2008-08-08,735.15,581.55,1238.75
2008-08-11,759.6,591.0,1254.65
2008-08-12,720.55,626.5,1255.95
2008-08-13,725.1,614.75,1274.25
2008-08-14,700.0,572.3,1244.8
2008-08-18,692.5,573.75,1251.1
2008-08-19,679.8,568.9,1184.1
2008-08-20,673.8,580.15,1202.05
2008-08-21,649.1,564.35,1200.0
2008-08-22,679.85,575.9,1206.15
2008-08-25,685.6,582.2,1204.45
2008-08-26,679.65,568.65,1200.55
2008-08-27,677.35,560.8,1194.65
2008-08-28,670.55,557.55,1199.4
2008-08-29,723.4,577.25,1229.25
2008-09-01,722.9,591.05,1198.6
2008-09-02,759.85,590.65,1219.75
2008-09-04,734.2,583.8,1219.35
2008-09-05,687.25,570.75,1203.1
2008-09-08,711.25,580.15,1200.15
2008-09-09,710.0,580.45,1195.65
2008-09-10,710.45,589.65,1204.85
2008-09-11,704.15,579.6,1212.45
2008-09-12,692.55,562.75,1210.75
2008-09-15,656.9,535.75,1205.0
2008-09-16,695.8,538.35,1198.8
2008-09-17,666.45,493.65,1200.0
2008-09-18,678.6,454.75,1169.85
2008-09-19,708.55,456.4,1159.85
2008-09-22,704.9,443.85,1151.5
